#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 01 02 11 30  46 13.4 999 99.0 9999
2014 01 02 11 40  48 13.5 999 99.0 9999
2014 01 02 11 50  48 13.5  48 16.3 1100
2014 01 02 12 00  51 14.0 999 99.0 9999
2014 01 02 12 10  50 14.1 999 99.0 9999
2014 01 02 12 20  50 14.1 999 99.0 9999
2014 01 02 12 30  48 13.6 999 99.0 9999
2014 01 02 12 40  46 14.3 999 99.0 9999
2014 01 02 12 50  47 14.2  48 17.1 1239
2014 01 02 13 00  47 14.2 999 99.0 9999
2014 01 02 13 10  46 14.1 999 99.0 9999
2014 01 02 13 20  45 14.5 999 99.0 9999
2014 01 02 13 30  46 13.4 999 99.0 9999
2014 01 02 13 40  43 13.5 999 99.0 9999
2014 01 02 13 50  46 13.6  53 17.6 1313
2014 01 02 14 00  46 14.2 999 99.0 9999
2014 01 02 14 10  44 14.3 999 99.0 9999
2014 01 02 14 20  44 13.4 999 99.0 9999
2014 01 02 14 30  44 14.1 999 99.0 9999
2014 01 02 14 40  45 14.3 999 99.0 9999
2014 01 02 14 50  41 14.4  43 18.0 1427
2014 01 02 15 00  43 13.9 999 99.0 9999
2014 01 02 15 10  44 14.0 999 99.0 9999
2014 01 02 15 20  45 13.9 999 99.0 9999
2014 01 02 15 30  44 13.9 999 99.0 9999
2014 01 02 15 40  40 13.7 999 99.0 9999
2014 01 02 15 50  39 13.3  39 17.5 1504
2014 01 02 16 00  39 13.5 999 99.0 9999
2014 01 02 16 10  38 13.2 999 99.0 9999
2014 01 02 16 20  35 13.3 999 99.0 9999
2014 01 02 16 30  36 12.7 999 99.0 9999
2014 01 02 16 40  38 13.0 999 99.0 9999
2014 01 02 16 50  41 13.2  34 16.5 1559
2014 01 02 17 00  40 13.3 999 99.0 9999
2014 01 02 17 10  40 13.2 999 99.0 9999
2014 01 02 17 20  41 13.3 999 99.0 9999
2014 01 02 17 30  40 12.9 999 99.0 9999
2014 01 02 17 40  39 13.5 999 99.0 9999
2014 01 02 17 50  34 13.0  42 16.8 1704
2014 01 02 18 00  34 12.7 999 99.0 9999
2014 01 02 18 10  34 12.9 999 99.0 9999
2014 01 02 18 20  33 12.5 999 99.0 9999
2014 01 02 18 30  34 13.1 999 99.0 9999
2014 01 02 18 40  32 12.6 999 99.0 9999
2014 01 02 18 50  31 12.2  30 16.1 1751
2014 01 02 19 00  33 12.1 999 99.0 9999
2014 01 02 19 10  34 12.9 999 99.0 9999
2014 01 02 19 20  39 12.9 999 99.0 9999
2014 01 02 19 30  38 12.5 999 99.0 9999
2014 01 02 19 40  37 12.5 999 99.0 9999
2014 01 02 19 50  39 12.2  37 15.7 1943
2014 01 02 20 00  35 12.1 999 99.0 9999
2014 01 02 20 10  34 12.2 999 99.0 9999
2014 01 02 20 20  36 12.1 999 99.0 9999
2014 01 02 20 30  35 12.4 999 99.0 9999
2014 01 02 20 40  38 12.3 999 99.0 9999
2014 01 02 20 50  36 11.9  32 15.3 2028
2014 01 02 21 00  36 12.7 999 99.0 9999
2014 01 02 21 10  37 12.3 999 99.0 9999
2014 01 02 21 20  41 12.6 999 99.0 9999
2014 01 02 21 30  36 12.9 999 99.0 9999
2014 01 02 21 40  35 12.4 999 99.0 9999
2014 01 02 21 50  37 12.7  46 15.7 2115
2014 01 02 22 00  38 12.8 999 99.0 9999
2014 01 02 22 10  40 12.4 999 99.0 9999
2014 01 02 22 20  36 12.1 999 99.0 9999
2014 01 02 22 30  35 12.7 999 99.0 9999
2014 01 02 22 40  36 12.2 999 99.0 9999
2014 01 02 22 50  36 12.1  32 15.3 2245
2014 01 02 23 00  37 11.7 999 99.0 9999
2014 01 02 23 10  36 10.9 999 99.0 9999
2014 01 02 23 20  28 10.5 999 99.0 9999
2014 01 02 23 30  18 10.4 999 99.0 9999
2014 01 02 23 40  26 10.3 999 99.0 9999
2014 01 02 23 50  24 10.5  39 14.5 2250
2014 01 03 00 00  30 11.2 999 99.0 9999
2014 01 03 00 10  35 11.8 999 99.0 9999
2014 01 03 00 20  37 12.4 999 99.0 9999
2014 01 03 00 30  34 12.1 999 99.0 9999
2014 01 03 00 40  32 12.4 999 99.0 9999
2014 01 03 00 50  34 12.7  28 15.7 0041
2014 01 03 01 00  26 12.5 999 99.0 9999
2014 01 03 01 10  26 12.5 999 99.0 9999
2014 01 03 01 20  28 12.3 999 99.0 9999
2014 01 03 01 30  28 12.4 999 99.0 9999
2014 01 03 01 40  33 12.6 999 99.0 9999
2014 01 03 01 50  35 13.0  47 15.9 0148
2014 01 03 02 00  34 13.4 999 99.0 9999
2014 01 03 02 10  32 13.6 999 99.0 9999
2014 01 03 02 20  34 13.0 999 99.0 9999
2014 01 03 02 30  34 13.3 999 99.0 9999
2014 01 03 02 40  34 12.8 999 99.0 9999
2014 01 03 02 50  24 12.7  39 16.3 0157
2014 01 03 03 00  24 13.0 999 99.0 9999
2014 01 03 03 10  23 13.1 999 99.0 9999
2014 01 03 03 20  26 13.2 999 99.0 9999
2014 01 03 03 30  26 13.5 999 99.0 9999
2014 01 03 03 40  25 13.4 999 99.0 9999
2014 01 03 03 50  25 13.5  26 16.6 0314
2014 01 03 04 00  26 13.5 999 99.0 9999
2014 01 03 04 10  28 13.7 999 99.0 9999
2014 01 03 04 20  30 13.4 999 99.0 9999
2014 01 03 04 30  30 14.1 999 99.0 9999
2014 01 03 04 40  32 13.9 999 99.0 9999
2014 01 03 04 50  27 14.3  26 17.8 0433
2014 01 03 05 00  25 14.6 999 99.0 9999
2014 01 03 05 10  28 14.6 999 99.0 9999
2014 01 03 05 20  22 14.6 999 99.0 9999
2014 01 03 05 30  22 14.2 999 99.0 9999
2014 01 03 05 40  21 14.6 999 99.0 9999
2014 01 03 05 50  21 14.9  22 18.4 0539
2014 01 03 06 00  21 14.7 999 99.0 9999
2014 01 03 06 10  22 14.9 999 99.0 9999
2014 01 03 06 20  19 15.3 999 99.0 9999
2014 01 03 06 30  17 15.0 999 99.0 9999
2014 01 03 06 40  21 15.1 999 99.0 9999
2014 01 03 06 50  21 15.2  24 18.9 0634
2014 01 03 07 00  18 15.0 999 99.0 9999
2014 01 03 07 10  16 15.1 999 99.0 9999
2014 01 03 07 20   9 14.6 999 99.0 9999
2014 01 03 07 30   5 14.6 999 99.0 9999
2014 01 03 07 40   3 15.0 999 99.0 9999
2014 01 03 07 50   5 14.8  14 18.5 0709
2014 01 03 08 00   4 14.1 999 99.0 9999
2014 01 03 08 10   3 14.9 999 99.0 9999
2014 01 03 08 20 358 13.5 999 99.0 9999
2014 01 03 08 30 355 14.9 999 99.0 9999
2014 01 03 08 40 356 14.4 999 99.0 9999
2014 01 03 08 50 352 15.0 347 19.1 0833
2014 01 03 09 00 345 13.4 999 99.0 9999
2014 01 03 09 10 335 14.3 999 99.0 9999
2014 01 03 09 20 338 13.8 999 99.0 9999
2014 01 03 09 30 340 14.0 999 99.0 9999
2014 01 03 09 40 346 14.4 999 99.0 9999
2014 01 03 09 50 344 14.8 351 18.8 0850
2014 01 03 10 00 342 15.3 999 99.0 9999
2014 01 03 10 10 344 15.0 999 99.0 9999
2014 01 03 10 20 342 14.9 999 99.0 9999
2014 01 03 10 30 343 15.1 999 99.0 9999
2014 01 03 10 40 344 15.8 999 99.0 9999
2014 01 03 10 50 343 15.5 340 20.7 1036
2014 01 03 11 00 349 15.8 999 99.0 9999
2014 01 03 11 10 345 15.2 999 99.0 9999
2014 01 03 11 20 349 15.9 999 99.0 9999
2014 01 03 11 30 344 14.8 999 99.0 9999
2014 01 03 11 40 342 15.3 999 99.0 9999
2014 01 03 11 50 340 15.7   2 19.9 1115
2014 01 03 12 00 345 15.3 999 99.0 9999
2014 01 03 12 10 343 16.5 999 99.0 9999
2014 01 03 12 20 343 16.4 999 99.0 9999
2014 01 03 12 30 340 16.5 999 99.0 9999
2014 01 03 12 40 344 17.0 999 99.0 9999
2014 01 03 12 50 341 17.3 350 21.6 1247
2014 01 03 13 00 345 18.1 999 99.0 9999
2014 01 03 13 10 337 17.0 999 99.0 9999
2014 01 03 13 20 340 16.1 999 99.0 9999
2014 01 03 13 30 340 16.4 999 99.0 9999
