#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 07 01 17 50 205  2.0  2.8 99.00 99.00 99.00 999 1011.2 999.0  23.8 999.0 99.0 99.00 
2020 07 01 18 00 196  2.2  3.0 99.00 99.00 99.00 999 1010.9 999.0  23.6 999.0 99.0 99.00 
2020 07 01 18 10 188  2.5  3.3 99.00 99.00 99.00 999 1010.8 999.0  23.3 999.0 99.0 99.00 
2020 07 01 18 20 176  2.8  3.5 99.00 99.00 99.00 999 1010.6 999.0  23.6 999.0 99.0 99.00 
2020 07 01 18 30 177  3.0  3.6 99.00 99.00 99.00 999 1010.6 999.0  23.5 999.0 99.0 99.00 
2020 07 01 18 40 187  3.4  4.6  0.92  9.09  7.11  97 1010.7 999.0  23.5 999.0 99.0 99.00 
2020 07 01 18 50 197  3.6  4.4 99.00 99.00 99.00 999 1010.8 999.0  23.3 999.0 99.0 99.00 
2020 07 01 19 00 212  3.8  4.8 99.00 99.00 99.00 999 1010.8 999.0  23.4 999.0 99.0 99.00 
2020 07 01 19 10 229  4.0  4.6 99.00 99.00 99.00 999 1010.7 999.0  23.5 999.0 99.0 99.00 
2020 07 01 19 20 225  3.4  4.5 99.00 99.00 99.00 999 1010.4 999.0  23.4 999.0 99.0 99.00 
2020 07 01 19 30 199  2.9  4.3 99.00 99.00 99.00 999 1010.4 999.0  23.3 999.0 99.0 99.00 
2020 07 01 19 40 207  4.2  5.1  0.84  8.33  7.14 103 1010.4 999.0  23.3 999.0 99.0 99.00 
2020 07 01 19 50 212  4.0  5.0 99.00 99.00 99.00 999 1010.3 999.0  23.4 999.0 99.0 99.00 
2020 07 01 20 00 218  3.8  5.1 99.00 99.00 99.00 999 1010.2 999.0  23.3 999.0 99.0 99.00 
2020 07 01 20 10 216  3.0  3.8 99.00 99.00 99.00 999 1010.3 999.0  23.2 999.0 99.0 99.00 
2020 07 01 20 20 211  3.2  4.5 99.00 99.00 99.00 999 1010.3 999.0  23.3 999.0 99.0 99.00 
2020 07 01 20 30 213  3.9  4.9 99.00 99.00 99.00 999 1010.3 999.0  23.3 999.0 99.0 99.00 
2020 07 01 20 40 214  4.3  5.1  0.87  9.09  7.10 103 1010.3 999.0  23.2 999.0 99.0 99.00 
2020 07 01 20 50 208  4.5  5.5 99.00 99.00 99.00 999 1010.3 999.0  22.9 999.0 99.0 99.00 
2020 07 01 21 00 202  4.3  5.3 99.00 99.00 99.00 999 1010.1 999.0  22.8 999.0 99.0 99.00 
2020 07 01 21 10 198  5.1  6.4 99.00 99.00 99.00 999 1010.0 999.0  23.1 999.0 99.0 99.00 
2020 07 01 21 20 200  5.8  6.8 99.00 99.00 99.00 999 1010.1 999.0  23.0 999.0 99.0 99.00 
2020 07 01 21 30 199  6.0  7.1 99.00 99.00 99.00 999 1010.2 999.0  23.0 999.0 99.0 99.00 
2020 07 01 21 40 200  6.1  7.5  0.90  8.33  6.59  90 1010.0 999.0  22.9 999.0 99.0 99.00 
2020 07 01 21 50 201  6.4  7.9 99.00 99.00 99.00 999 1009.8 999.0  22.8 999.0 99.0 99.00 
2020 07 01 22 00 206  6.4  7.9 99.00 99.00 99.00 999 1009.7 999.0  22.8 999.0 99.0 99.00 
2020 07 01 22 10 205  6.5  7.6 99.00 99.00 99.00 999 1009.6 999.0  22.6 999.0 99.0 99.00 
2020 07 01 22 20 207  6.7  8.0 99.00 99.00 99.00 999 1009.6 999.0  22.6 999.0 99.0 99.00 
2020 07 01 22 30 210  5.9  7.5 99.00 99.00 99.00 999 1009.7 999.0  22.5 999.0 99.0 99.00 
2020 07 01 22 40 214  5.7  7.2  0.98  8.33  5.35 108 1009.9 999.0  22.5 999.0 99.0 99.00 
2020 07 01 22 50 219  5.2  6.2 99.00 99.00 99.00 999 1010.1 999.0  22.4 999.0 99.0 99.00 
2020 07 01 23 00 217  5.0  6.0 99.00 99.00 99.00 999 1010.0 999.0  22.5 999.0 99.0 99.00 
2020 07 01 23 10 214  5.3  6.0 99.00 99.00 99.00 999 1010.2 999.0  22.5 999.0 99.0 99.00 
2020 07 01 23 20 219  5.2  6.5 99.00 99.00 99.00 999 1010.1 999.0  22.5 999.0 99.0 99.00 
2020 07 01 23 30 221  4.6  5.6 99.00 99.00 99.00 999 1010.0 999.0  22.5 999.0 99.0 99.00 
2020 07 01 23 40 223  5.1  6.0  0.96  8.33  5.51 107 1010.0 999.0  22.5 999.0 99.0 99.00 
2020 07 01 23 50 223  4.8  5.8 99.00 99.00 99.00 999 1010.0 999.0  22.6 999.0 99.0 99.00 
2020 07 02 00 00 224  4.2  5.0 99.00 99.00 99.00 999 1010.0 999.0  22.6 999.0 99.0 99.00 
2020 07 02 00 10 228  4.0  5.0 99.00 99.00 99.00 999 1010.1 999.0  22.6 999.0 99.0 99.00 
2020 07 02 00 20 222  4.6  5.6 99.00 99.00 99.00 999 1010.2 999.0  22.5 999.0 99.0 99.00 
2020 07 02 00 30 227  4.2  5.4 99.00 99.00 99.00 999 1010.3 999.0  22.5 999.0 99.0 99.00 
2020 07 02 00 40 228  3.6  4.5  0.95  9.09  6.17 102 1010.3 999.0  22.5 999.0 99.0 99.00 
2020 07 02 00 50 231  3.0  3.9 99.00 99.00 99.00 999 1010.2 999.0  22.5 999.0 99.0 99.00 
2020 07 02 01 00 227  2.6  3.4 99.00 99.00 99.00 999 1010.5 999.0  22.5 999.0 99.0 99.00 
2020 07 02 01 10 226  2.4  2.9 99.00 99.00 99.00 999 1010.6 999.0  22.4 999.0 99.0 99.00 
2020 07 02 01 20 198  2.7  3.8 99.00 99.00 99.00 999 1010.6 999.0  22.4 999.0 99.0 99.00 
2020 07 02 01 30 199  2.9  3.8 99.00 99.00 99.00 999 1010.8 999.0  22.4 999.0 99.0 99.00 
2020 07 02 01 40 208  3.7  4.6  0.87  9.09  5.99 104 1010.9 999.0  22.3 999.0 99.0 99.00 
2020 07 02 01 50 211  3.9  4.6 99.00 99.00 99.00 999 1010.9 999.0  22.3 999.0 99.0 99.00 
2020 07 02 02 00 215  4.3  5.1 99.00 99.00 99.00 999 1011.0 999.0  22.3 999.0 99.0 99.00 
2020 07 02 02 10 212  4.1  5.3 99.00 99.00 99.00 999 1010.9 999.0  22.2 999.0 99.0 99.00 
2020 07 02 02 20 218  4.1  4.8 99.00 99.00 99.00 999 1011.0 999.0  22.1 999.0 99.0 99.00 
2020 07 02 02 30 220  4.3  5.1 99.00 99.00 99.00 999 1011.2 999.0  22.1 999.0 99.0 99.00 
2020 07 02 02 40 227  4.1  5.1  0.89  8.33  5.73 108 1011.2 999.0  22.1 999.0 99.0 99.00 
2020 07 02 02 50 223  3.9  4.9 99.00 99.00 99.00 999 1011.1 999.0  22.0 999.0 99.0 99.00 
2020 07 02 03 00 211  4.1  4.9 99.00 99.00 99.00 999 1011.0 999.0  22.0 999.0 99.0 99.00 
2020 07 02 03 10 213  4.6  5.4 99.00 99.00 99.00 999 1010.8 999.0  21.9 999.0 99.0 99.00 
2020 07 02 03 20 213  4.3  5.7 99.00 99.00 99.00 999 1010.8 999.0  21.9 999.0 99.0 99.00 
2020 07 02 03 30 215  4.5  5.4 99.00 99.00 99.00 999 1010.6 999.0  21.9 999.0 99.0 99.00 
2020 07 02 03 40 214  4.4  5.5  0.83  9.09  5.36 104 1010.8 999.0  21.9 999.0 99.0 99.00 
2020 07 02 03 50 218  3.8  4.7 99.00 99.00 99.00 999 1010.8 999.0  21.8 999.0 99.0 99.00 
2020 07 02 04 00 218  3.4  4.4 99.00 99.00 99.00 999 1010.9 999.0  21.9 999.0 99.0 99.00 
2020 07 02 04 10 218  3.7  4.6 99.00 99.00 99.00 999 1010.9 999.0  21.9 999.0 99.0 99.00 
2020 07 02 04 20 225  4.1  5.0 99.00 99.00 99.00 999 1010.9 999.0  21.9 999.0 99.0 99.00 
2020 07 02 04 30 237  3.5  4.7 99.00 99.00 99.00 999 1010.9 999.0  21.9 999.0 99.0 99.00 
2020 07 02 04 40 247  3.1  4.1  0.91  9.09  5.71  92 1010.7 999.0  21.9 999.0 99.0 99.00 
2020 07 02 04 50 245  3.4  4.1 99.00 99.00 99.00 999 1010.6 999.0  21.9 999.0 99.0 99.00 
2020 07 02 05 00 264  3.8  5.2 99.00 99.00 99.00 999 1010.6 999.0  22.0 999.0 99.0 99.00 
2020 07 02 05 10 262  3.8  4.8 99.00 99.00 99.00 999 1010.5 999.0  21.9 999.0 99.0 99.00 
2020 07 02 05 20 257  3.9  4.9 99.00 99.00 99.00 999 1010.4 999.0  21.9 999.0 99.0 99.00 
2020 07 02 05 30 254  4.0  5.0 99.00 99.00 99.00 999 1010.2 999.0  21.9 999.0 99.0 99.00 
2020 07 02 05 40 254  4.5  5.6  0.85  8.33  5.48 101 1010.3 999.0  21.9 999.0 99.0 99.00 
2020 07 02 05 50 252  4.3  5.3 99.00 99.00 99.00 999 1010.2 999.0  21.9 999.0 99.0 99.00 
2020 07 02 06 00 252  3.9  4.8 99.00 99.00 99.00 999 1010.1 999.0  21.9 999.0 99.0 99.00 
2020 07 02 06 10 258  3.7  4.9 99.00 99.00 99.00 999 1010.0 999.0  21.9 999.0 99.0 99.00 
2020 07 02 06 20 261  4.1  5.1 99.00 99.00 99.00 999 1009.9 999.0  21.9 999.0 99.0 99.00 
